word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
diverse,adj.,The city's population is far more diverse than it was a generation ago.,a diverse range; culturally diverse; increasingly diverse,"di-(分開) + vers(轉, 同 reverse/version/convert) → 轉向不同方向 → 多樣的",varied; assorted; mixed; different,AWL,Sublist 6,passive,多樣的,名詞 diversity —— cultural diversity 是社會題常用
domain,n.,Childcare was long treated as the domain of women alone.,the public domain; in the domain of; a private domain,"domin(主人, 同 dominate/domestic) → 主人管得到的範圍",field; area; sphere; territory,AWL,Sublist 6,passive,領域、範圍,
edit,v.,The article was heavily edited before publication.,edit a text; heavily edited; edit down,"e-(向外) + dit(給, 拉丁 dare, 同 date/tradition) → 整理後交出去",revise; amend; proofread; cut,AWL,Sublist 6,passive,編輯、校訂,
enhance,v.,Street trees enhance both air quality and property values.,enhance the quality; greatly enhance; enhance performance,"古法語 enhaucier「抬高」(拉丁 altus 高, 同 altitude) → 把水準抬上去",improve; boost; strengthen; heighten,AWL,Sublist 6,passive,提升、增強,比 improve 正式，Task 2 講好處很好用
estate,n.,Most of the new flats were built on a housing estate outside town.,a housing estate; real estate; an industrial estate,拉丁 status「狀態、地位」(同 state/status/stable) → 一個人名下的產業,property; land; development; holdings,AWL,Sublist 6,passive,地產、住宅區,
exceed,v.,Pollution levels exceeded the legal limit on forty days last year.,exceed the limit; exceed expectations; far exceed,"ex-(向外) + ceed(走, 同 proceed/succeed/access) → 走出界線 → 超過",surpass; go beyond; top; outstrip,AWL,Sublist 6,passive,超過、超出,
expert,n./adj.,Most experts agree that the target is no longer achievable.,an expert on; expert opinion; leading experts,"ex-(徹底) + per(嘗試, 同 experience/experiment/peril) → 試過很多次的人",specialist; authority; professional; skilled,AWL,Sublist 6,passive,專家；熟練的,
explicit,adj.,The guidelines are explicit about what counts as plagiarism.,explicit instructions; be explicit about; an explicit reference,"ex-(向外) + plic(摺疊, 同 apply/complex/imply) → 攤開講明白",clear; direct; unambiguous; specific,AWL,Sublist 6,passive,明確的,反義字 implicit（隱含的）—— 兩個常一起考
federal,adj.,Education is funded locally rather than by the federal government.,the federal government; federal law; a federal system,拉丁 foedus「盟約」(同 federation/confederate/fidelity) → 各邦結盟的,national; central; confederate; union,AWL,Sublist 6,passive,聯邦的,
fee,n.,Tuition fees have risen faster than average incomes.,tuition fees; charge a fee; an annual fee,古英語 feoh「牲畜、財產」(同 fief/fee) → 付出去的財物,charge; cost; payment; price,AWL,Sublist 6,passive,費用,
flexible,adj.,Flexible working hours helped the company retain young parents.,flexible working; highly flexible; a flexible approach,"flex(彎曲, 拉丁 flectere, 同 reflect/flexible) + -ible → 彎得動的",adaptable; adjustable; versatile; accommodating,AWL,Sublist 6,passive,有彈性的,
furthermore,adv.,"Furthermore, the scheme cost far less than the alternatives.","furthermore, ...; and furthermore; furthermore it is clear",further(更進一步) + more → 再加一點,moreover; in addition; besides; what is more,AWL,Sublist 6,passive,此外、而且,Task 2 加論點的連接詞，後面接逗號
gender,n.,The pay gap between genders has narrowed but not closed.,gender equality; the gender gap; gender roles,拉丁 genus「種類」(同 genre/general/generate) → 分成哪一類,sex; sexual identity; gender category,AWL,Sublist 6,passive,性別,gender 偏社會角色，sex 偏生理 —— 學術寫作要選對
ignorance,n.,Much of the opposition stems from ignorance rather than hostility.,out of ignorance; widespread ignorance; ignorance of the law,"i-(不) + gnor(知道, 同 know/recognise/diagnose) + -ance → 不知道的狀態",unawareness; inexperience; unfamiliarity; illiteracy,AWL,Sublist 6,passive,無知、不了解,
incentive,n.,Tax breaks give households a strong incentive to insulate their homes.,a financial incentive; provide an incentive; little incentive,"in-(進入) + cent(唱, 拉丁 canere, 同 chant/accent) → 唱歌鼓動人 → 誘因",motivation; encouragement; stimulus; inducement,AWL,Sublist 6,passive,誘因、獎勵,Task 2 講政策手段很好用：provide incentives for...
incidence,n.,The incidence of asthma is higher near major roads.,a high incidence; the incidence of; reduce the incidence,"in-(進入) + cid(落下, 同 accident/coincide) + -ence → 落在人群裡的比率",rate; frequency; occurrence; prevalence,AWL,Sublist 6,passive,發生率,
incorporate,v.,The final design incorporated several ideas from residents.,incorporate into; fully incorporate; incorporate feedback,"in-(進入) + corpor(身體, 同 corporate/corpse) + -ate → 併入同一個身體",include; integrate; absorb; build in,AWL,Sublist 6,passive,納入、結合,
index,n.,The air quality index stayed in the unhealthy range for a week.,a price index; an index of; the consumer index,"in-(朝向) + dex(指出, 拉丁 dicere, 同 indicate/dictate) → 指出來的指標",indicator; measure; gauge; list,AWL,Sublist 6,passive,指數、索引,複數 indexes（索引）或 indices（數學／統計指數）
inhibit,v.,Fear of failure inhibits many students from speaking in class.,inhibit growth; inhibit someone from; severely inhibit,"in-(在裡面) + hib(握住, 拉丁 habere, 同 habit/exhibit/prohibit) → 抓住不放行",hinder; restrain; hold back; impede,AWL,Sublist 6,passive,抑制、妨礙,
initiate,v.,The council initiated a review after the second flood.,initiate a process; initiate reform; initiate talks,"in-(進入) + it(走, 同 initial/transit/exit) + -ate → 讓某事走出第一步",begin; launch; start; set in motion,AWL,Sublist 6,passive,發起、啟動,
input,n./v.,The design improved considerably after input from local cyclists.,provide input; valuable input; data input,in(進入) + put(放) → 放進去的東西,contribution; feedback; data; involvement,AWL,Sublist 6,passive,投入、意見,
instruct,v.,Staff were instructed to report any faults immediately.,instruct someone to; clearly instruct; instruct a class,"in-(進入) + struct(建造, 同 structure/construct/destroy) → 在腦中蓋起知識 → 指導",direct; order; teach; brief,AWL,Sublist 6,passive,指示、教導,
intelligence,n.,Intelligence alone does not predict success at university.,artificial intelligence; emotional intelligence; a test of intelligence,"inter-(之間) + leg(選擇、閱讀, 同 select/lecture/legible) + -ence → 在選項間讀得出門道",intellect; cleverness; understanding; acumen,AWL,Sublist 6,passive,智力、情報,
interval,n.,Buses run at ten-minute intervals during rush hour.,at regular intervals; a short interval; the interval between,"inter-(之間) + val(城牆, 拉丁 vallum, 同 wall) → 兩道牆之間的空隙",gap; break; period; pause,AWL,Sublist 6,passive,間隔、期間,
lecture,n./v.,First-year students attend six lectures a week.,attend a lecture; give a lecture; a lecture hall,"lect(閱讀、選擇, 同 lecture/select/collect) + -ure → 唸給大家聽",talk; address; presentation; seminar,AWL,Sublist 6,passive,講課、演講,
migrate,v.,Young workers continue to migrate from the countryside to the coast.,migrate to; migrate from; seasonally migrate,拉丁 migrare「遷移」(同 immigrate/emigrate/migration) → 換地方住,move; relocate; travel; resettle,AWL,Sublist 6,passive,遷徙、移居,
minimum,n./adj.,The minimum wage was raised for the third year running.,the minimum wage; a minimum of; keep to a minimum,拉丁 minimus「最小」(同 minor/minus/minimise) → 最小的量,least; lowest; smallest; floor,AWL,Sublist 6,passive,最低限度,
ministry,n.,The ministry of education published new guidance on homework.,the ministry of health; a government ministry; ministry officials,"minist(僕人, 拉丁 minister, 同 minister/administer) + -ry → 為國家服務的部門",department; government office; bureau; agency,AWL,Sublist 6,passive,部會,
motive,n.,Profit was clearly not the only motive behind the donation.,the motive behind; an ulterior motive; a strong motive,"mot(移動, 同 motion/motor/promote) + -ive → 推動人行動的東西",reason; motivation; purpose; incentive,AWL,Sublist 6,passive,動機,
neutral,adj.,The report tries to remain neutral on the question of nuclear power.,remain neutral; a neutral stance; carbon neutral,拉丁 neuter「兩者皆非」(ne-(不) + uter(兩者之一)) → 哪一邊都不站,impartial; unbiased; objective; non-aligned,AWL,Sublist 6,passive,中立的,carbon neutral（碳中和）是環境題高頻詞
nevertheless,adv.,"The evidence is limited; nevertheless, the pattern is hard to ignore.","nevertheless, ...; and nevertheless; nevertheless remains",never + the + less → 一點也不因此減少 → 儘管如此,nonetheless; however; even so; still,AWL,Sublist 6,passive,儘管如此,Task 2 讓步後轉折的標準用字
overseas,adj./adv.,The university recruits a third of its students from overseas.,overseas students; work overseas; overseas markets,over(越過) + seas(海) → 海的另一邊 → 國外,foreign; abroad; international; external,AWL,Sublist 6,passive,海外的,
precede,v.,A sharp fall in bird numbers preceded the collapse of the fishery.,precede something; immediately precede; as preceded by,"pre-(事先) + ced(走, 同 proceed/exceed/access) → 走在前面",come before; lead up to; predate; introduce,AWL,Sublist 6,passive,先於、在…之前,
presume,v.,"Planners presumed that car use would keep rising, and were wrong.",presume that; reasonably presume; presumed innocent,"pre-(事先) + sum(拿取, 同 assume/consume/resume) → 事先就拿來當真",assume; suppose; take for granted; believe,AWL,Sublist 6,passive,假定、推測,
rational,adj.,Buying a second car is rarely a rational response to congestion.,a rational decision; perfectly rational; rational thinking,"ratio(計算、比例, 同 ratio/rate/reason) + -al → 講得出道理的",logical; reasonable; sensible; sound,AWL,Sublist 6,passive,理性的,
recover,v.,Fish stocks recovered quickly once trawling was banned.,recover from; fully recover; recover costs,"re-(再) + cover(取得, 拉丁 recuperare, 同 recuperate) → 重新拿回來",bounce back; recuperate; regain; rebound,AWL,Sublist 6,passive,恢復、復原,
reveal,v.,The survey revealed that half of all commuters would switch to trains.,reveal that; the data reveal; reveal a pattern,"re-(相反) + veal(面紗, 拉丁 velum, 同 veil) → 把面紗拿掉",show; disclose; uncover; expose,AWL,Sublist 6,passive,顯示、揭露,Task 1 描述數據常用：The chart reveals that...
